"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-07-17,0,0,0,7.40585220507452e-05,0,0.000359209512616584,0,0,0,0,0,0,0
2021-07-18,0,0,0,8.48437437086207e-05,0,0.000364062133887056,0,0,0,0,0,0,0
2021-07-19,0,0,0,8.48437437086207e-05,0,0.000365795212912224,0,0,0,0,0,0,0
2021-07-20,0,0,0,8.70007880401958e-05,0,0.000371109988589408,0,0,0,0,0,0,0
2021-07-21,0,0,0,8.98768471489626e-05,0,0.000377695688885048,0,0,0,0,0,0,0
2021-07-22,0,0,0,9.41909358121128e-05,0,0.000385321236595789,0,0,0,0,0,0,0
2021-07-23,0,0,0,9.56289653664962e-05,0,0.000393755554518276,0,0,0,0,0,0,0
2021-07-24,0,0,0,9.99430540296464e-05,0,0.000402420949644118,0,0,0,0,0,0,0
2021-07-25,0,0,0,0.000104257142692797,0,0.000417209890658889,0,0,0,0,0,0,0
2021-07-26,0,0,0,0.000104976157469988,0,0.000451409316755547,0,0,0,0,0,0,0
2021-07-27,0,0,0,0.000106414187024372,0,0.000499935529460264,0,0,0,0,0,0,0
2021-07-28,0,0,0,0.000109290246133139,0,0.000545804354326389,0,0,0,0,0,0,0
2021-07-29,0,0,0,0.000111447290464714,0,0.000584625324490163,0,0,0,0,0,0,0
2021-07-30,0,0,0,0.000113604334796289,0,0.000620211213806955,0,0,0,0,0,0,0
2021-07-31,0,0,0,0.000118637438236631,0,0.000664000343842879,0,0,0,0,0,0,0
2021-08-01,0,0,0,0.000122232512122589,0,0.00069196068544893,0,0,0,0,0,0,0
2021-08-02,0,0,0,0.000122951526899781,0,0.000719112256843236,0,0,0,0,0,0,0
2021-08-03,0,0,0,0.000122951526899781,0,0.000757124456795264,0,0,0,0,0,0,0
2021-08-04,0,0,0,0.000125827586008548,0,0.000795945426959038,0,0,0,0,0,0,0
2021-08-05,0,0,0,0.000128703645117314,0,0.000839850095596639,0,0,0,0,0,0,0
2021-08-06,0,0,0,0.00013517477811204,0,0.000894615392791963,0,0,0,0,0,0,0
2021-08-07,0,0,0,0.000138769851997998,0,0.000962089936171855,0,0,0,0,0,0,0
2021-08-08,0,0,0,0.000140207881552382,0,0.000999871058920527,0,0,0,0,0,0,0
2021-08-09,0,0,0,0.000140926896329573,0,0.00102794693912826,0,0,0,0,0,0,0
2021-08-10,0,0,0,0.000145959999769915,0,0.00108121023450177,0,0,0,0,0,0,0
2021-08-11,0,0,0,0.000148836058878682,0,0.0011322782964434,0,0,0,0,0,0,0
2021-08-12,0,0,0,0.000156026206650599,0,0.00118045789334308,0,0,0,0,0,0,0
2021-08-13,0,0,0,0.000158902265759366,0,0.00124284873824915,0,0,0,0,0,0,0
2021-08-14,0,0,0,0.000160340295313749,0,0.00130593281476528,0,0,0,0,0,0,0
2021-08-15,0,0,0,0.000161778324868133,0,0.00134798886577603,0,0,0,0,0,0,0
2021-08-16,0,0,0,0.000163216354422516,0,0.00137525597577202,0,0,0,0,0,0,0
2021-08-17,0,0,0,0.000165373398754091,0,0.0014223957252566,0,0,0,0,0,0,0
2021-08-18,0,0,0,0.000165373398754091,0,0.00147635225224018,0,0,0,0,0,0,0
2021-08-19,0,0,0,0.000168249457862858,0,0.00153862755854456,0,0,0,0,0,0,0
2021-08-20,0,0,0,0.000171125516971625,0,0.00158726930985096,0,0,0,0,0,0,0
2021-08-21,0,0,0,0.000175439605634775,0,0.00164954461615535,0,0,0,0,0,0,0
2021-08-22,0,0,0,0.000179034679520733,0,0.00168316634924361,0,0,0,0,0,0,0
2021-08-23,0,0,0,0.000181191723852309,0,0.00171112669084967,0,0,0,0,0,0,0
2021-08-24,0,0,0,0.000184786797738267,0,0.00176080828957116,0,0,0,0,0,0,0
2021-08-25,0,0,0,0.000189100886401417,0,0.00181141419710608,0,0,0,0,0,0,0
2021-08-26,0,0,0,0.000194133989841759,0,0.00186837472773329,0,0,0,0,0,0,0
2021-08-27,0,0,0,0.000199167093282101,0,0.00192545079696217,0,0,0,0,0,0,0
2021-08-28,0,0,0,0.000204919211499635,0,0.00199280980174038,0,0,0,0,0,0,0
2021-08-29,0,0,0,0.000213547388825935,0,0.00204907710075752,0,0,0,0,0,0,0
2021-08-30,0,0,0,0.00021570443315751,0,0.00208535622168438,0,0,0,0,0,0,0
2021-08-31,0,0,0,0.000220737536597852,0,0.00213388243438909,0,0,0,0,0,0,0
2021-09-01,0,0,0,0.000223613595706619,0,0.00222111407865591,0,0,0,0,0,0,0
2021-09-02,0,0,0,0.000230084728701344,0,0.00234612684567139,0,0,0,0,0,0,0
2021-09-03,0,0,0,0.000237274876473261,0,0.0025379209244567,0,0,0,0,0,0,0
2021-09-04,0,0,0,0.000243026994690795,0,0.00273722501235108,0,0,0,0,0,0,0
2021-09-05,0,0,0,0.000248060098131137,0,0.00287806656779643,0,0,0,0,0,0,0
2021-09-06,0,0,0,0.000253093201571479,0,0.00296841775430855,0,0,0,0,0,0,0
2021-09-07,0,0,0,0.000254531231125862,0,0.00304074491895891,0,0,0,0,0,0,0
2021-09-08,0,0,0,0.000263878423229354,0,0.00322560668164355,0,0,0,0,0,0,0
2021-09-09,0,0,0,0.000272506600555655,0,0.00343993078775605,0,0,0,0,0,0,0
2021-09-10,0,0,0,0.000282572807436338,0,0.0036592230537407,0,0,0,0,0,0,0
2021-09-11,0,0,0,0.000289762955208255,0,0.00387100531061629,0,0,0,0,0,0,0
2021-09-12,0,0,0,0.000296234088202981,0,0.0040340302775838,0,0,0,0,0,0,0
2021-09-13,0,0,0,0.000298391132534556,0,0.00413477993824693,0,0,0,0,0,0,0
2021-09-14,0,0,0,0.000301267191643323,0,0.00427342626026041,0,0,0,0,0,0,0
2021-09-15,0,0,0,0.000306300295083665,0,0.00442050690019637,0,0,0,0,0,0,0
2021-09-16,0,0,0,0.000370292610253726,0,0.00463032500084343,0,0,0,0,0,0,0
2021-09-17,0,0.00956256922488044,0,0.000617633693607671,0,0.00485296788627674,0,0,0,0,0,0,0
2021-09-18,0,0.00956256922488044,0,0.000833338126765181,0,0.00504788150730735,0,0,0,0,0,0,0
2021-09-19,0,0.00956256922488044,0,0.000907396648815926,0,0.00518098197644029,0,0,0,0,0,0,0
2021-09-20,0,0.0108128955647531,0,0.000926810047800102,0,0.00525827730096281,0,0,0,0,0,0,0
2021-09-21,0,0.0115077450211218,0,0.00111447290464714,0,0.0053466643312464,0,0,0,0,0,0,0
2021-09-22,0,0.0121204921753374,0,0.00127553221473808,0,0.00545353753779845,0,0,0,0,0,0,0
2021-09-23,0,0.0129578461725003,0,0.00154156768229901,0,0.00561321188531731,0,0,0,0,0,0,0
2021-09-24,0,0.0237204065383857,0,0.00183276866706165,0,0.00581679090147376,0,0,0,0,0,0,0
2021-09-25,0,0.0237204065383857,0,0.00221744157285921,0,0.00598120233166141,0,0,0,0,0,0,0
2021-09-26,0,0.0237204065383857,0,0.00231594659733447,0,0.00610367324943998,0,0,0,0,0,0,0
2021-09-27,0,0.0256725174064711,0,0.0023389550702046,0,0.00617334302625176,0,0,0,0,0.0016799760660944,0.0108905673634288,0
2021-09-28,0,0.0266197139931629,0,0.00256760176935156,0,0.00623966218361487,0,0,0,0,0.0016799760660944,0.0108905673634288,0
2021-09-29,0,0.0275443156683631,0,0.00279912452760729,0,0.00636294187160519,0,0,0,0,0.0016799760660944,0.0108905673634288,0
2021-09-30,0,0.028470483327528,0,0.00312411920689794,0,0.00653047284403814,0,0,0,0,0.0016799760660944,0.0108905673634288,0
2021-10-01,0.000903808958046617,0.0294286418019733,0,0.00342754344287284,0,0.00673428293739795,0,0,0,0,0.0016799760660944,0.0108905673634288,0
2021-10-02,0.000903808958046617,0.0294286418019733,0,0.00391287841747724,0,0.00688390542657083,0,0,0,0,0.0016799760660944,0.0108905673634288,0
2021-10-03,0.000903808958046617,0.0294286418019733,0,0.00397111861442976,0,0.00699586233159671,0,0,0,0,0.0016799760660944,0.0108905673634288,0
2021-10-04,0.000979823168143053,0.0307885870193799,0,0.0039941270872999,0,0.00704057577044606,0,0,0,0,0.00451062067060962,0.0153258387493413,0
2021-10-05,0.00100490785747488,0.031419231133193,0,0.0042889231459485,0,0.00711232524208803,0,0,0.00213947969292174,0,0.00451062067060962,0.0153258387493413,0
2021-10-06,0.00103588364808917,0.0320791815183467,0.0338431587846372,0.00456933890905326,0,0.00720059673376995,0,0,0.00213947969292174,0,0.00451062067060962,0.0153258387493413,0
2021-10-07,0.00119494338271596,0.0336809594023131,0.0338431587846372,0.00541274324269912,0,0.00732653380959885,0,0,0.00213947969292174,0,0.00451062067060962,0.0153258387493413,0
2021-10-08,0.00215519289175919,0.0352140577038246,0.0338431587846372,0.00680403683656506,0,0.00747615629877173,0,0,0.00213947969292174,0,0.00451062067060962,0.0153258387493413,0
2021-10-09,0.00215519289175919,0.0352140577038246,0.0338431587846372,0.00835638974052195,0,0.00761341615756508,0,0,0.00213947969292174,0,0.00451062067060962,0.0153258387493413,0
2021-10-10,0.00215519289175919,0.0352140577038246,0.0338431587846372,0.00939392806400957,0,0.00770399842128055,0,0,0.00213947969292174,0,0.00451062067060962,0.0153258387493413,0
2021-10-11,0.00215519289175919,0.0352140577038246,0.0338431587846372,0.0095557063888777,0,0.00774663216529969,0,0,0.00213947969292174,0,0.00451062067060962,0.0153258387493413,0
2021-10-12,0.00215519289175919,0.0380755578314523,0.0380853421533922,0.00963839308825475,0,0.00778568421266682,0,0,0.00213947969292174,0,0.00451062067060962,0.0219128754610926,0
